NOMBRE,Month,NDVI,NDVI_p25,NDVI_p75,anio_actual
Mena,5.0,0.1397,0.1288,0.1611,-9999.0000
Pedro Montt,5.0,0.1404,0.1262,0.1539,-9999.0000
Victoria Oriente,5.0,0.1249,0.1145,0.1483,-9999.0000
Victoria Poniente,5.0,0.1328,0.1211,0.1560,-9999.0000
Villa Olimpica,5.0,0.1125,0.0784,0.1378,-9999.0000
Araya,5.0,0.1263,0.1104,0.1416,-9999.0000
Arturo Prat,5.0,0.1211,0.0936,0.1363,-9999.0000
Blanco,5.0,0.1240,0.1161,0.1500,-9999.0000
Centro,5.0,0.1224,0.1087,0.1313,-9999.0000
Colina de Oro,5.0,0.2171,0.1793,0.2500,-9999.0000
El Esfuerzo,5.0,0.1293,0.1136,0.1409,-9999.0000
Emparte,5.0,0.0883,0.0838,0.0905,-9999.0000
Esmeralda,5.0,0.1446,0.1270,0.1506,-9999.0000
Liceo,5.0,0.1297,0.1184,0.1439,-9999.0000
Poblacion Esperanza,5.0,0.1513,0.1355,0.1629,-9999.0000
Poblacion Ferroviaria,5.0,0.1490,0.1370,0.1685,-9999.0000
R. Sotomayor,5.0,0.1364,0.1229,0.1441,-9999.0000
San Cristobal2,5.0,0.1663,0.1490,0.1880,-9999.0000
Sol del Pacifico,5.0,0.1260,0.1156,0.1476,-9999.0000
Soublete (Francisco Bilbao),5.0,0.1314,0.1139,0.1488,-9999.0000
Thompson,5.0,0.0977,0.0884,0.1154,-9999.0000
M. Mena,5.0,0.1101,0.0984,0.1220,-9999.0000
Manuel Rodriguez,5.0,0.1127,0.1020,0.1241,-9999.0000
No Organizada,5.0,0.1786,0.1075,0.2023,-9999.0000
Pompeya Norte,5.0,0.1137,0.1020,0.1401,-9999.0000
Pompeya Sur,5.0,0.1393,0.1258,0.1509,-9999.0000
Valencia Alto,5.0,0.1097,0.1015,0.1188,-9999.0000
Costa Sol,5.0,0.0771,0.0551,0.0905,-9999.0000
California,5.0,0.1244,0.0918,0.1292,-9999.0000
Camilo Henriquez,5.0,0.1263,0.1115,0.1354,-9999.0000
El Bosque,5.0,0.2624,0.2098,0.3258,-9999.0000
El Sol,5.0,0.2258,0.2050,0.2400,-9999.0000
General Baquedano,5.0,0.1434,0.1300,0.1610,-9999.0000
Infante,5.0,0.1992,0.1796,0.2213,-9999.0000
Lo Gamboa,5.0,0.1104,0.0904,0.1246,-9999.0000
Los Espinos,5.0,0.1923,0.1768,0.2103,-9999.0000
Retiro,5.0,0.1972,0.1727,0.2136,-9999.0000
Viñas del Sol,5.0,0.1745,0.1579,0.1993,-9999.0000
Buenos Aires,5.0,0.1480,0.1202,0.1644,-9999.0000
Casa de Valencia,5.0,0.1791,0.1591,0.1960,-9999.0000
Hevia,5.0,0.1267,0.1159,0.1377,-9999.0000
Humbolt,5.0,0.1683,0.1541,0.1805,-9999.0000
Phillips,5.0,0.1418,0.1235,0.1500,-9999.0000
Poblacion Argentina,5.0,0.1745,0.1149,0.1778,-9999.0000
Poblacion Canal Chacao,5.0,0.2069,0.1284,0.2272,-9999.0000
San Gregorio,5.0,0.1207,0.1071,0.1254,-9999.0000
Valencia Bajo,5.0,0.1381,0.1208,0.1464,-9999.0000
Villa Paso Hondo,5.0,0.2199,0.1506,0.2412,-9999.0000
Calicheros,6.0,0.1709,0.1040,0.2674,-9999.0000
Belloto 2000,6.0,0.1076,0.0708,0.1252,-9999.0000
Belloto Centro,6.0,0.1091,0.0707,0.1330,-9999.0000
Bernando Ohiggins,6.0,0.1280,0.0811,0.1538,-9999.0000
Cruz del Sur,6.0,0.1114,0.0689,0.1293,-9999.0000
82,6.0,0.1514,0.1022,0.2095,-9999.0000
Belloto Norte,6.0,0.1358,0.0759,0.1664,-9999.0000
E.E.U.U,6.0,0.1594,0.0881,0.2384,-9999.0000
Lincoyan,6.0,0.1298,0.0781,0.1603,-9999.0000
Los Colonos,6.0,0.2328,0.1289,0.3055,-9999.0000
Patricio Lynch,6.0,0.2033,0.1015,0.2696,-9999.0000
Santa Marta,6.0,0.2038,0.1004,0.2765,-9999.0000
Cantera,6.0,0.1239,0.0785,0.1579,-9999.0000
Decimo Sector,6.0,0.1401,0.0872,0.1747,-9999.0000
Estero Viejo,6.0,0.1256,0.0807,0.1587,-9999.0000
